gloss	proto	derived
h1	puka	puko
h2	buka	buko
h3	tuma	tumo
h4	duna	duno
h5	kuba	kubo
h6	gupa	gupo
h7	poka	poko
h8	boma	bomo
h9	toka	toko
h10	doba	dobo
h11	nupa	nupo
h12	muka	muko
h13	gopa	gopo
h14	noma	nomo
h15	kopa	kopo
f1	pika	pika
f2	bika	bika
f3	tima	tima
f4	dina	dina
f5	kiba	kiba
f6	gipa	gipa
f7	peka	peka
f8	beka	beka
f9	tema	tema
f10	dena	dena
f11	nipa	nipa
f12	mika	mika
f13	gepa	gepa
f14	nema	nema
f15	kepa	kepa
a1	paka	paka
a2	baka	baka
a3	tama	tama
a4	daba	daba
a5	kata	kata
c1	titi	titi
c2	bubu	bubu
c3	diki	diki
c4	gono	gono
c5	pipi	pipi
c6	tutu	tutu
c7	mini	mini
c8	guku	guku
c9	beke	beke
c10	nopo	nopo
