gloss	ppn	hawaiian
one	tahi	kahi
two	rua	lua
three	toru	kolu
four	faa	haa
five	lima	lima
six	ono	ono
seven	fitu	hiku
eight	walu	walu
nine	iwa	iwa
ten	fulu	hulu
hundred	lau	lau
person	taŋata	kanaka
man	taane	kaane
woman	fafine	wahine
child	tama	kama
chief	ariki	aliʔi
eye	mata	maka
ear	talinga	kalina
nose	ihu	ihu
mouth	ŋutu	nuku
tongue	alelo	alelo
tooth	nifo	niho
hand	rima	lima
foot	waʔe	waʔe
heart	loto	loko
blood	toto	koko
bone	iwi	iwi
skin	kili	ʔili
hair	fuluu	hulu
name	iŋoa	inoa
water	wai	wai
sea	tai	kai
sky	laŋi	lani
cloud	ao	ao
sun	laʔaa	laa
moon	maarama	malama
star	fetuʔu	hokuu
fire	afi	ahi
stone	fatu	haku
earth	fanua	honua
road	ala	ala
house	fare	hale
canoe	waka	waʔa
reef	akau	aʔau
taro	talo	kalo
coconut	niu	niu
bird	manu	manu
chicken	moa	moa
fish	ika	iʔa
dog	kulii	ʔiliʔ
pig	puaka	puaʔa
rat	kiore	ʔiole
snake	ŋata	naka
tree	lakau	laau
leaf	lau	lau
root	aka	aʔa
fruit	fua	hua
flower	pua	pua
wood	rakau	laau
leaf2	rau	lau
big	nui	nui
small	riki	liʔi
good	lelei	lelei
bad	kino	ʔino
new	foʔou	hoʔu
old	matuʔa	makuʔa
long	loa	loa
cold	makariri	makaniani
hot	wera	wela
red	kura	ʔula
white	tea	kea
black	ʔuli	ʔeleʔele
go	fano	hana
come	sau	hau
sleep	moe	moe
eat	kai	ʔai
drink	inu	inu
see	kite	ʔike
hear	fakarongo	hoʔolono
know	iloa	ike
say	tala	kaa
work	ŋaue	hana
die	mate	make
live	moʔui	moʔui
rain	ua	ua
wind	matangi	makani
word	tala	kala
year	tau	makahiki
moon-month	malama	malama
yes	ʔae	ʔae
count	tatau	kau
fly	lele	lele
sit	noho	noho
stand	tuʔu	kuu
path	ala	ala
thousand	mano	mano
