cognate_id	lect_id	segments	confidence
one-000	ppn	t a h i	1.0
one-000	hawaiian	k a h i	1.0
two-001	ppn	r u a	1.0
two-001	hawaiian	l u a	1.0
three-002	ppn	t o r u	1.0
three-002	hawaiian	k o l u	1.0
four-003	ppn	f a a	1.0
four-003	hawaiian	h a a	1.0
five-004	ppn	l i m a	1.0
five-004	hawaiian	l i m a	1.0
six-005	ppn	o n o	1.0
six-005	hawaiian	o n o	1.0
seven-006	ppn	f i t u	1.0
seven-006	hawaiian	h i k u	1.0
eight-007	ppn	w a l u	1.0
eight-007	hawaiian	w a l u	1.0
nine-008	ppn	i w a	1.0
nine-008	hawaiian	i w a	1.0
ten-009	ppn	f u l u	1.0
ten-009	hawaiian	h u l u	1.0
hundred-010	ppn	l a u	1.0
hundred-010	hawaiian	l a u	1.0
person-011	ppn	t a ŋ a t a	1.0
person-011	hawaiian	k a n a k a	1.0
man-012	ppn	t a a n e	1.0
man-012	hawaiian	k a a n e	1.0
woman-013	ppn	f a f i n e	1.0
woman-013	hawaiian	w a h i n e	1.0
child-014	ppn	t a m a	1.0
child-014	hawaiian	k a m a	1.0
chief-015	ppn	a r i k i	1.0
chief-015	hawaiian	a l i ʔ i	1.0
eye-016	ppn	m a t a	1.0
eye-016	hawaiian	m a k a	1.0
ear-017	ppn	t a l i n g a	1.0
ear-017	hawaiian	k a l i n a	1.0
nose-018	ppn	i h u	1.0
nose-018	hawaiian	i h u	1.0
mouth-019	ppn	ŋ u t u	1.0
mouth-019	hawaiian	n u k u	1.0
tongue-020	ppn	a l e l o	1.0
tongue-020	hawaiian	a l e l o	1.0
tooth-021	ppn	n i f o	1.0
tooth-021	hawaiian	n i h o	1.0
hand-022	ppn	r i m a	1.0
hand-022	hawaiian	l i m a	1.0
foot-023	ppn	w a ʔ e	1.0
foot-023	hawaiian	w a ʔ e	1.0
heart-024	ppn	l o t o	1.0
heart-024	hawaiian	l o k o	1.0
blood-025	ppn	t o t o	1.0
blood-025	hawaiian	k o k o	1.0
bone-026	ppn	i w i	1.0
bone-026	hawaiian	i w i	1.0
skin-027	ppn	k i l i	1.0
skin-027	hawaiian	ʔ i l i	1.0
hair-028	ppn	f u l u u	1.0
hair-028	hawaiian	h u l u	1.0
name-029	ppn	i ŋ o a	1.0
name-029	hawaiian	i n o a	1.0
water-030	ppn	w a i	1.0
water-030	hawaiian	w a i	1.0
sea-031	ppn	t a i	1.0
sea-031	hawaiian	k a i	1.0
sky-032	ppn	l a ŋ i	1.0
sky-032	hawaiian	l a n i	1.0
cloud-033	ppn	a o	1.0
cloud-033	hawaiian	a o	1.0
sun-034	ppn	l a ʔ a a	1.0
sun-034	hawaiian	l a a	1.0
moon-035	ppn	m a a r a m a	1.0
moon-035	hawaiian	m a l a m a	1.0
star-036	ppn	f e t u ʔ u	1.0
star-036	hawaiian	h o k u u	1.0
fire-037	ppn	a f i	1.0
fire-037	hawaiian	a h i	1.0
stone-038	ppn	f a t u	1.0
stone-038	hawaiian	h a k u	1.0
