cognate_id	lect_id	segments	confidence	etymon_group	source_group
chunk-000	ancestor	k p t i	1	chunk-000	synthetic-m2
chunk-000	innovator	k f s i	1	chunk-000	synthetic-m2
chunk-001	ancestor	k p t a	1	chunk-001	synthetic-m2
chunk-001	innovator	k p t a	1	chunk-001	synthetic-m2
chunk-002	ancestor	k p t i	1	chunk-002	synthetic-m2
chunk-002	innovator	k f s i	1	chunk-002	synthetic-m2
chunk-003	ancestor	k p t a	1	chunk-003	synthetic-m2
chunk-003	innovator	k p t a	1	chunk-003	synthetic-m2
chunk-004	ancestor	k p t i	1	chunk-004	synthetic-m2
chunk-004	innovator	k f s i	1	chunk-004	synthetic-m2
chunk-005	ancestor	k p t a	1	chunk-005	synthetic-m2
chunk-005	innovator	k p t a	1	chunk-005	synthetic-m2
chunk-006	ancestor	k p t i	1	chunk-006	synthetic-m2
chunk-006	innovator	k f s i	1	chunk-006	synthetic-m2
chunk-007	ancestor	k p t a	1	chunk-007	synthetic-m2
chunk-007	innovator	k p t a	1	chunk-007	synthetic-m2
chunk-008	ancestor	k p t i	1	chunk-008	synthetic-m2
chunk-008	innovator	k f s i	1	chunk-008	synthetic-m2
chunk-009	ancestor	k p t a	1	chunk-009	synthetic-m2
chunk-009	innovator	k p t a	1	chunk-009	synthetic-m2
chunk-010	ancestor	k p t i	1	chunk-010	synthetic-m2
chunk-010	innovator	k f s i	1	chunk-010	synthetic-m2
chunk-011	ancestor	k p t a	1	chunk-011	synthetic-m2
chunk-011	innovator	k p t a	1	chunk-011	synthetic-m2
chunk-012	ancestor	k p t i	1	chunk-012	synthetic-m2
chunk-012	innovator	k f s i	1	chunk-012	synthetic-m2
chunk-013	ancestor	k p t a	1	chunk-013	synthetic-m2
chunk-013	innovator	k p t a	1	chunk-013	synthetic-m2
chunk-014	ancestor	k p t i	1	chunk-014	synthetic-m2
chunk-014	innovator	k f s i	1	chunk-014	synthetic-m2
chunk-015	ancestor	k p t a	1	chunk-015	synthetic-m2
chunk-015	innovator	k p t a	1	chunk-015	synthetic-m2
chunk-016	ancestor	k p t i	1	chunk-016	synthetic-m2
chunk-016	innovator	k f s i	1	chunk-016	synthetic-m2
chunk-017	ancestor	k p t a	1	chunk-017	synthetic-m2
chunk-017	innovator	k p t a	1	chunk-017	synthetic-m2
chunk-018	ancestor	k p t i	1	chunk-018	synthetic-m2
chunk-018	innovator	k f s i	1	chunk-018	synthetic-m2
chunk-019	ancestor	k p t a	1	chunk-019	synthetic-m2
chunk-019	innovator	k p t a	1	chunk-019	synthetic-m2
chunk-020	ancestor	k p t i	1	chunk-020	synthetic-m2
chunk-020	innovator	k f s i	1	chunk-020	synthetic-m2
chunk-021	ancestor	k p t a	1	chunk-021	synthetic-m2
chunk-021	innovator	k p t a	1	chunk-021	synthetic-m2
chunk-022	ancestor	k p t i	1	chunk-022	synthetic-m2
chunk-022	innovator	k f s i	1	chunk-022	synthetic-m2
chunk-023	ancestor	k p t a	1	chunk-023	synthetic-m2
chunk-023	innovator	k p t a	1	chunk-023	synthetic-m2
