cognate_id	lect_id	segments	confidence	etymon_group	source_group
interaction-2-000	ancestor	u s p i	1	interaction-2-000	synthetic-m2
interaction-2-000	innovator	u s f i	1	interaction-2-000	synthetic-m2
interaction-2-001	ancestor	u m p i	1	interaction-2-001	synthetic-m2
interaction-2-001	innovator	u m p i	1	interaction-2-001	synthetic-m2
interaction-2-002	ancestor	u s p a	1	interaction-2-002	synthetic-m2
interaction-2-002	innovator	u s p a	1	interaction-2-002	synthetic-m2
interaction-2-003	ancestor	u m p a	1	interaction-2-003	synthetic-m2
interaction-2-003	innovator	u m p a	1	interaction-2-003	synthetic-m2
interaction-2-004	ancestor	o s p i	1	interaction-2-004	synthetic-m2
interaction-2-004	innovator	o s f i	1	interaction-2-004	synthetic-m2
interaction-2-005	ancestor	o m p i	1	interaction-2-005	synthetic-m2
interaction-2-005	innovator	o m p i	1	interaction-2-005	synthetic-m2
interaction-2-006	ancestor	o s p a	1	interaction-2-006	synthetic-m2
interaction-2-006	innovator	o s p a	1	interaction-2-006	synthetic-m2
interaction-2-007	ancestor	o m p a	1	interaction-2-007	synthetic-m2
interaction-2-007	innovator	o m p a	1	interaction-2-007	synthetic-m2
interaction-2-008	ancestor	u s p i	1	interaction-2-008	synthetic-m2
interaction-2-008	innovator	u s f i	1	interaction-2-008	synthetic-m2
interaction-2-009	ancestor	u m p i	1	interaction-2-009	synthetic-m2
interaction-2-009	innovator	u m p i	1	interaction-2-009	synthetic-m2
interaction-2-010	ancestor	u s p a	1	interaction-2-010	synthetic-m2
interaction-2-010	innovator	u s p a	1	interaction-2-010	synthetic-m2
interaction-2-011	ancestor	u m p a	1	interaction-2-011	synthetic-m2
interaction-2-011	innovator	u m p a	1	interaction-2-011	synthetic-m2
interaction-2-012	ancestor	o s p i	1	interaction-2-012	synthetic-m2
interaction-2-012	innovator	o s f i	1	interaction-2-012	synthetic-m2
interaction-2-013	ancestor	o m p i	1	interaction-2-013	synthetic-m2
interaction-2-013	innovator	o m p i	1	interaction-2-013	synthetic-m2
interaction-2-014	ancestor	o s p a	1	interaction-2-014	synthetic-m2
interaction-2-014	innovator	o s p a	1	interaction-2-014	synthetic-m2
interaction-2-015	ancestor	o m p a	1	interaction-2-015	synthetic-m2
interaction-2-015	innovator	o m p a	1	interaction-2-015	synthetic-m2
interaction-2-016	ancestor	u s p i	1	interaction-2-016	synthetic-m2
interaction-2-016	innovator	u s f i	1	interaction-2-016	synthetic-m2
interaction-2-017	ancestor	u m p i	1	interaction-2-017	synthetic-m2
interaction-2-017	innovator	u m p i	1	interaction-2-017	synthetic-m2
interaction-2-018	ancestor	u s p a	1	interaction-2-018	synthetic-m2
interaction-2-018	innovator	u s p a	1	interaction-2-018	synthetic-m2
interaction-2-019	ancestor	u m p a	1	interaction-2-019	synthetic-m2
interaction-2-019	innovator	u m p a	1	interaction-2-019	synthetic-m2
interaction-2-020	ancestor	o s p i	1	interaction-2-020	synthetic-m2
interaction-2-020	innovator	o s f i	1	interaction-2-020	synthetic-m2
interaction-2-021	ancestor	o m p i	1	interaction-2-021	synthetic-m2
interaction-2-021	innovator	o m p i	1	interaction-2-021	synthetic-m2
interaction-2-022	ancestor	o s p a	1	interaction-2-022	synthetic-m2
interaction-2-022	innovator	o s p a	1	interaction-2-022	synthetic-m2
interaction-2-023	ancestor	o m p a	1	interaction-2-023	synthetic-m2
interaction-2-023	innovator	o m p a	1	interaction-2-023	synthetic-m2
interaction-2-024	ancestor	u s p i	1	interaction-2-024	synthetic-m2
interaction-2-024	innovator	u s f i	1	interaction-2-024	synthetic-m2
interaction-2-025	ancestor	u m p i	1	interaction-2-025	synthetic-m2
interaction-2-025	innovator	u m p i	1	interaction-2-025	synthetic-m2
interaction-2-026	ancestor	u s p a	1	interaction-2-026	synthetic-m2
interaction-2-026	innovator	u s p a	1	interaction-2-026	synthetic-m2
interaction-2-027	ancestor	u m p a	1	interaction-2-027	synthetic-m2
interaction-2-027	innovator	u m p a	1	interaction-2-027	synthetic-m2
interaction-2-028	ancestor	o s p i	1	interaction-2-028	synthetic-m2
interaction-2-028	innovator	o s f i	1	interaction-2-028	synthetic-m2
interaction-2-029	ancestor	o m p i	1	interaction-2-029	synthetic-m2
interaction-2-029	innovator	o m p i	1	interaction-2-029	synthetic-m2
interaction-2-030	ancestor	o s p a	1	interaction-2-030	synthetic-m2
interaction-2-030	innovator	o s p a	1	interaction-2-030	synthetic-m2
interaction-2-031	ancestor	o m p a	1	interaction-2-031	synthetic-m2
interaction-2-031	innovator	o m p a	1	interaction-2-031	synthetic-m2
interaction-2-032	ancestor	u s p i	1	interaction-2-032	synthetic-m2
interaction-2-032	innovator	u s f i	1	interaction-2-032	synthetic-m2
interaction-2-033	ancestor	u m p i	1	interaction-2-033	synthetic-m2
interaction-2-033	innovator	u m p i	1	interaction-2-033	synthetic-m2
interaction-2-034	ancestor	u s p a	1	interaction-2-034	synthetic-m2
interaction-2-034	innovator	u s p a	1	interaction-2-034	synthetic-m2
