cognate_id	lect_id	segments	confidence	etymon_group	source_group
w000	ancestor	k p i	1	history-000	synthetic-m2
w000	innovator	k f i	1	history-000	synthetic-m2
w001	ancestor	t p i	1	history-001	synthetic-m2
w001	innovator	t f i	1	history-001	synthetic-m2
w002	ancestor	k p i	1	history-002	synthetic-m2
w002	innovator	k f i	1	history-002	synthetic-m2
w003	ancestor	t p i	1	history-003	synthetic-m2
w003	innovator	t f i	1	history-003	synthetic-m2
w004	ancestor	k p i	1	history-004	synthetic-m2
w004	innovator	k f i	1	history-004	synthetic-m2
w005	ancestor	t p i	1	history-005	synthetic-m2
w005	innovator	t f i	1	history-005	synthetic-m2
w006	ancestor	k p i	1	history-006	synthetic-m2
w006	innovator	k f i	1	history-006	synthetic-m2
w007	ancestor	t p i	1	history-007	synthetic-m2
w007	innovator	t f i	1	history-007	synthetic-m2
w008	ancestor	k p i	1	history-008	synthetic-m2
w008	innovator	k f i	1	history-008	synthetic-m2
w009	ancestor	t p i	1	history-009	synthetic-m2
w009	innovator	t f i	1	history-009	synthetic-m2
w010	ancestor	k p i	1	history-010	synthetic-m2
w010	innovator	k f i	1	history-010	synthetic-m2
w011	ancestor	t p i	1	history-011	synthetic-m2
w011	innovator	t f i	1	history-011	synthetic-m2
w012	ancestor	k p i	1	history-012	synthetic-m2
w012	innovator	k f i	1	history-012	synthetic-m2
w013	ancestor	t p i	1	history-013	synthetic-m2
w013	innovator	t f i	1	history-013	synthetic-m2
w014	ancestor	k p i	1	history-014	synthetic-m2
w014	innovator	k f i	1	history-014	synthetic-m2
w015	ancestor	t p i	1	history-015	synthetic-m2
w015	innovator	t f i	1	history-015	synthetic-m2
w016	ancestor	k p i	1	history-016	synthetic-m2
w016	innovator	k f i	1	history-016	synthetic-m2
w017	ancestor	t p i	1	history-017	synthetic-m2
w017	innovator	t f i	1	history-017	synthetic-m2
w018	ancestor	k p i	1	history-018	synthetic-m2
w018	innovator	k f i	1	history-018	synthetic-m2
w019	ancestor	t p i	1	history-019	synthetic-m2
w019	innovator	t f i	1	history-019	synthetic-m2
w020	ancestor	k p a	1	history-020	synthetic-m2
w020	innovator	k p a	1	history-020	synthetic-m2
w021	ancestor	t p a	1	history-021	synthetic-m2
w021	innovator	t p a	1	history-021	synthetic-m2
w022	ancestor	k p a	1	history-022	synthetic-m2
w022	innovator	k p a	1	history-022	synthetic-m2
w023	ancestor	t p a	1	history-023	synthetic-m2
w023	innovator	t p a	1	history-023	synthetic-m2
w024	ancestor	k p a	1	history-024	synthetic-m2
w024	innovator	k p a	1	history-024	synthetic-m2
w025	ancestor	t p a	1	history-025	synthetic-m2
w025	innovator	t p a	1	history-025	synthetic-m2
w026	ancestor	k p a	1	history-026	synthetic-m2
w026	innovator	k p a	1	history-026	synthetic-m2
w027	ancestor	t p a	1	history-027	synthetic-m2
w027	innovator	t p a	1	history-027	synthetic-m2
w028	ancestor	k p a	1	history-028	synthetic-m2
w028	innovator	k p a	1	history-028	synthetic-m2
w029	ancestor	t p a	1	history-029	synthetic-m2
w029	innovator	t p a	1	history-029	synthetic-m2
w030	ancestor	k p a	1	history-030	synthetic-m2
w030	innovator	k p a	1	history-030	synthetic-m2
w031	ancestor	t p a	1	history-031	synthetic-m2
w031	innovator	t p a	1	history-031	synthetic-m2
w032	ancestor	k p a	1	history-032	synthetic-m2
w032	innovator	k p a	1	history-032	synthetic-m2
w033	ancestor	t p a	1	history-033	synthetic-m2
w033	innovator	t p a	1	history-033	synthetic-m2
w034	ancestor	k p a	1	history-034	synthetic-m2
w034	innovator	k p a	1	history-034	synthetic-m2
w035	ancestor	t p a	1	history-035	synthetic-m2
w035	innovator	t p a	1	history-035	synthetic-m2
w036	ancestor	k p a	1	history-036	synthetic-m2
w036	innovator	k p a	1	history-036	synthetic-m2
w037	ancestor	t p a	1	history-037	synthetic-m2
w037	innovator	t p a	1	history-037	synthetic-m2
w038	ancestor	k p a	1	history-038	synthetic-m2
w038	innovator	k p a	1	history-038	synthetic-m2
w039	ancestor	t p a	1	history-039	synthetic-m2
w039	innovator	t p a	1	history-039	synthetic-m2
