cognate_id	lect_id	segments	confidence	etymon_group	source_group
partial_cognacy-000	ancestor	k p i m a	1	partial_cognacy-000	synthetic-m2
partial_cognacy-000	innovator	k f i t u	1	partial_cognacy-000	synthetic-m2
partial_cognacy-001	ancestor	k p a m a	1	partial_cognacy-001	synthetic-m2
partial_cognacy-001	innovator	k p a t u	1	partial_cognacy-001	synthetic-m2
partial_cognacy-002	ancestor	k p i m a	1	partial_cognacy-002	synthetic-m2
partial_cognacy-002	innovator	k f i t u	1	partial_cognacy-002	synthetic-m2
partial_cognacy-003	ancestor	k p a m a	1	partial_cognacy-003	synthetic-m2
partial_cognacy-003	innovator	k p a t u	1	partial_cognacy-003	synthetic-m2
partial_cognacy-004	ancestor	k p i m a	1	partial_cognacy-004	synthetic-m2
partial_cognacy-004	innovator	k f i t u	1	partial_cognacy-004	synthetic-m2
partial_cognacy-005	ancestor	k p a m a	1	partial_cognacy-005	synthetic-m2
partial_cognacy-005	innovator	k p a t u	1	partial_cognacy-005	synthetic-m2
partial_cognacy-006	ancestor	k p i m a	1	partial_cognacy-006	synthetic-m2
partial_cognacy-006	innovator	k f i t u	1	partial_cognacy-006	synthetic-m2
partial_cognacy-007	ancestor	k p a m a	1	partial_cognacy-007	synthetic-m2
partial_cognacy-007	innovator	k p a t u	1	partial_cognacy-007	synthetic-m2
partial_cognacy-008	ancestor	k p i m a	1	partial_cognacy-008	synthetic-m2
partial_cognacy-008	innovator	k f i t u	1	partial_cognacy-008	synthetic-m2
partial_cognacy-009	ancestor	k p a m a	1	partial_cognacy-009	synthetic-m2
partial_cognacy-009	innovator	k p a t u	1	partial_cognacy-009	synthetic-m2
partial_cognacy-010	ancestor	k p i m a	1	partial_cognacy-010	synthetic-m2
partial_cognacy-010	innovator	k f i t u	1	partial_cognacy-010	synthetic-m2
partial_cognacy-011	ancestor	k p a m a	1	partial_cognacy-011	synthetic-m2
partial_cognacy-011	innovator	k p a t u	1	partial_cognacy-011	synthetic-m2
partial_cognacy-012	ancestor	k p i m a	1	partial_cognacy-012	synthetic-m2
partial_cognacy-012	innovator	k f i t u	1	partial_cognacy-012	synthetic-m2
partial_cognacy-013	ancestor	k p a m a	1	partial_cognacy-013	synthetic-m2
partial_cognacy-013	innovator	k p a t u	1	partial_cognacy-013	synthetic-m2
partial_cognacy-014	ancestor	k p i m a	1	partial_cognacy-014	synthetic-m2
partial_cognacy-014	innovator	k f i t u	1	partial_cognacy-014	synthetic-m2
partial_cognacy-015	ancestor	k p a m a	1	partial_cognacy-015	synthetic-m2
partial_cognacy-015	innovator	k p a t u	1	partial_cognacy-015	synthetic-m2
partial_cognacy-016	ancestor	k p i m a	1	partial_cognacy-016	synthetic-m2
partial_cognacy-016	innovator	k f i t u	1	partial_cognacy-016	synthetic-m2
partial_cognacy-017	ancestor	k p a m a	1	partial_cognacy-017	synthetic-m2
partial_cognacy-017	innovator	k p a t u	1	partial_cognacy-017	synthetic-m2
partial_cognacy-018	ancestor	k p i m a	1	partial_cognacy-018	synthetic-m2
partial_cognacy-018	innovator	k f i t u	1	partial_cognacy-018	synthetic-m2
partial_cognacy-019	ancestor	k p a m a	1	partial_cognacy-019	synthetic-m2
partial_cognacy-019	innovator	k p a t u	1	partial_cognacy-019	synthetic-m2
partial_cognacy-020	ancestor	k p i m a	1	partial_cognacy-020	synthetic-m2
partial_cognacy-020	innovator	k f i t u	1	partial_cognacy-020	synthetic-m2
partial_cognacy-021	ancestor	k p a m a	1	partial_cognacy-021	synthetic-m2
partial_cognacy-021	innovator	k p a t u	1	partial_cognacy-021	synthetic-m2
partial_cognacy-022	ancestor	k p i m a	1	partial_cognacy-022	synthetic-m2
partial_cognacy-022	innovator	k f i t u	1	partial_cognacy-022	synthetic-m2
partial_cognacy-023	ancestor	k p a m a	1	partial_cognacy-023	synthetic-m2
partial_cognacy-023	innovator	k p a t u	1	partial_cognacy-023	synthetic-m2
