cognate_id	lect_id	segments	tone	confidence
x000	zz_conditioner	b a	- -	1.0
x000	aa_bearer	p a	- 4	1.0
x001	zz_conditioner	p a	- -	1.0
x001	aa_bearer	p a	- 1	1.0
x002	zz_conditioner	d a	- -	1.0
x002	aa_bearer	t a	- 4	1.0
x003	zz_conditioner	t a	- -	1.0
x003	aa_bearer	t a	- 1	1.0
x004	zz_conditioner	g a	- -	1.0
x004	aa_bearer	k a	- 4	1.0
x005	zz_conditioner	k a	- -	1.0
x005	aa_bearer	k a	- 1	1.0
x006	zz_conditioner	b i	- -	1.0
x006	aa_bearer	p i	- 4	1.0
x007	zz_conditioner	p i	- -	1.0
x007	aa_bearer	p i	- 1	1.0
x008	zz_conditioner	d i	- -	1.0
x008	aa_bearer	t i	- 4	1.0
x009	zz_conditioner	t i	- -	1.0
x009	aa_bearer	t i	- 1	1.0
x010	zz_conditioner	g i	- -	1.0
x010	aa_bearer	k i	- 4	1.0
x011	zz_conditioner	k i	- -	1.0
x011	aa_bearer	k i	- 1	1.0
x012	zz_conditioner	b u	- -	1.0
x012	aa_bearer	p u	- 4	1.0
x013	zz_conditioner	p u	- -	1.0
x013	aa_bearer	p u	- 1	1.0
x014	zz_conditioner	d u	- -	1.0
x014	aa_bearer	t u	- 4	1.0
x015	zz_conditioner	t u	- -	1.0
x015	aa_bearer	t u	- 1	1.0
x016	zz_conditioner	g u	- -	1.0
x016	aa_bearer	k u	- 4	1.0
x017	zz_conditioner	k u	- -	1.0
x017	aa_bearer	k u	- 1	1.0
x018	zz_conditioner	b a	- -	1.0
x018	aa_bearer	p a	- 4	1.0
x019	zz_conditioner	p a	- -	1.0
x019	aa_bearer	p a	- 1	1.0
x020	zz_conditioner	d a	- -	1.0
x020	aa_bearer	t a	- 4	1.0
x021	zz_conditioner	t a	- -	1.0
x021	aa_bearer	t a	- 1	1.0
x022	zz_conditioner	g a	- -	1.0
x022	aa_bearer	k a	- 4	1.0
x023	zz_conditioner	k a	- -	1.0
x023	aa_bearer	k a	- 1	1.0
x024	zz_conditioner	b i	- -	1.0
x024	aa_bearer	p i	- 4	1.0
x025	zz_conditioner	p i	- -	1.0
x025	aa_bearer	p i	- 1	1.0
x026	zz_conditioner	d i	- -	1.0
x026	aa_bearer	t i	- 4	1.0
x027	zz_conditioner	t i	- -	1.0
x027	aa_bearer	t i	- 1	1.0
x028	zz_conditioner	g i	- -	1.0
x028	aa_bearer	k i	- 4	1.0
x029	zz_conditioner	k i	- -	1.0
x029	aa_bearer	k i	- 1	1.0
x030	zz_conditioner	b u	- -	1.0
x030	aa_bearer	p u	- 4	1.0
x031	zz_conditioner	p u	- -	1.0
x031	aa_bearer	p u	- 1	1.0
x032	zz_conditioner	d u	- -	1.0
x032	aa_bearer	t u	- 4	1.0
x033	zz_conditioner	t u	- -	1.0
x033	aa_bearer	t u	- 1	1.0
x034	zz_conditioner	g u	- -	1.0
x034	aa_bearer	k u	- 4	1.0
x035	zz_conditioner	k u	- -	1.0
x035	aa_bearer	k u	- 1	1.0
