cognate_id	lect_id	segments	tone	confidence
u000	aa_tone	p a	- 1	1.0
u000	zz_tone	p a	- 4	1.0
u001	aa_tone	k i	- 4	1.0
u001	zz_tone	k i	- 1	1.0
u002	aa_tone	k i	- 4	1.0
u002	zz_tone	k i	- 2	1.0
u003	aa_tone	t u	- 4	1.0
u003	zz_tone	t u	- 2	1.0
u004	aa_tone	p a	- 1	1.0
u004	zz_tone	p a	- 1	1.0
u005	aa_tone	t i	- 4	1.0
u005	zz_tone	t i	- 1	1.0
u006	aa_tone	p i	- 4	1.0
u006	zz_tone	p i	- 1	1.0
u007	aa_tone	p i	- 4	1.0
u007	zz_tone	p i	- 1	1.0
u008	aa_tone	p i	- 4	1.0
u008	zz_tone	p i	- 4	1.0
u009	aa_tone	p u	- 1	1.0
u009	zz_tone	p u	- 1	1.0
u010	aa_tone	t i	- 4	1.0
u010	zz_tone	t i	- 2	1.0
u011	aa_tone	t i	- 1	1.0
u011	zz_tone	t i	- 1	1.0
u012	aa_tone	p u	- 4	1.0
u012	zz_tone	p u	- 1	1.0
u013	aa_tone	t a	- 1	1.0
u013	zz_tone	t a	- 1	1.0
u014	aa_tone	p i	- 1	1.0
u014	zz_tone	p i	- 1	1.0
u015	aa_tone	p u	- 4	1.0
u015	zz_tone	p u	- 2	1.0
u016	aa_tone	t a	- 1	1.0
u016	zz_tone	t a	- 2	1.0
u017	aa_tone	t i	- 4	1.0
u017	zz_tone	t i	- 2	1.0
u018	aa_tone	k i	- 4	1.0
u018	zz_tone	k i	- 1	1.0
u019	aa_tone	p a	- 4	1.0
u019	zz_tone	p a	- 2	1.0
u020	aa_tone	p u	- 4	1.0
u020	zz_tone	p u	- 2	1.0
u021	aa_tone	t a	- 1	1.0
u021	zz_tone	t a	- 4	1.0
u022	aa_tone	p i	- 4	1.0
u022	zz_tone	p i	- 2	1.0
u023	aa_tone	p i	- 1	1.0
u023	zz_tone	p i	- 4	1.0
u024	aa_tone	p a	- 1	1.0
u024	zz_tone	p a	- 4	1.0
u025	aa_tone	k u	- 1	1.0
u025	zz_tone	k u	- 4	1.0
u026	aa_tone	t a	- 4	1.0
u026	zz_tone	t a	- 2	1.0
u027	aa_tone	k a	- 1	1.0
u027	zz_tone	k a	- 1	1.0
u028	aa_tone	t i	- 4	1.0
u028	zz_tone	t i	- 1	1.0
u029	aa_tone	k a	- 1	1.0
u029	zz_tone	k a	- 2	1.0
u030	aa_tone	p u	- 1	1.0
u030	zz_tone	p u	- 4	1.0
u031	aa_tone	k u	- 4	1.0
u031	zz_tone	k u	- 4	1.0
u032	aa_tone	p a	- 4	1.0
u032	zz_tone	p a	- 1	1.0
u033	aa_tone	t i	- 4	1.0
u033	zz_tone	t i	- 2	1.0
u034	aa_tone	p i	- 1	1.0
u034	zz_tone	p i	- 4	1.0
u035	aa_tone	k u	- 4	1.0
u035	zz_tone	k u	- 4	1.0
u036	aa_tone	p a	- 1	1.0
u036	zz_tone	p a	- 2	1.0
u037	aa_tone	p i	- 1	1.0
u037	zz_tone	p i	- 2	1.0
u038	aa_tone	t a	- 1	1.0
u038	zz_tone	t a	- 2	1.0
u039	aa_tone	k u	- 1	1.0
u039	zz_tone	k u	- 4	1.0
u040	aa_tone	k i	- 1	1.0
u040	zz_tone	k i	- 2	1.0
u041	aa_tone	p u	- 1	1.0
u041	zz_tone	p u	- 2	1.0
u042	aa_tone	k i	- 4	1.0
u042	zz_tone	k i	- 4	1.0
u043	aa_tone	p a	- 4	1.0
u043	zz_tone	p a	- 2	1.0
u044	aa_tone	t u	- 4	1.0
u044	zz_tone	t u	- 4	1.0
u045	aa_tone	t i	- 1	1.0
u045	zz_tone	t i	- 1	1.0
u046	aa_tone	k u	- 4	1.0
u046	zz_tone	k u	- 1	1.0
u047	aa_tone	p a	- 1	1.0
u047	zz_tone	p a	- 1	1.0
u048	aa_tone	p u	- 4	1.0
u048	zz_tone	p u	- 4	1.0
u049	aa_tone	k i	- 4	1.0
u049	zz_tone	k i	- 2	1.0
u050	aa_tone	t u	- 4	1.0
u050	zz_tone	t u	- 2	1.0
u051	aa_tone	k u	- 4	1.0
u051	zz_tone	k u	- 1	1.0
u052	aa_tone	t u	- 1	1.0
u052	zz_tone	t u	- 4	1.0
u053	aa_tone	t a	- 4	1.0
u053	zz_tone	t a	- 1	1.0
u054	aa_tone	p i	- 1	1.0
u054	zz_tone	p i	- 1	1.0
u055	aa_tone	t a	- 4	1.0
u055	zz_tone	t a	- 4	1.0
u056	aa_tone	p i	- 4	1.0
u056	zz_tone	p i	- 2	1.0
u057	aa_tone	k a	- 4	1.0
u057	zz_tone	k a	- 1	1.0
u058	aa_tone	p u	- 4	1.0
u058	zz_tone	p u	- 2	1.0
u059	aa_tone	p a	- 4	1.0
u059	zz_tone	p a	- 4	1.0
