cognate_id	lect_id	segments
w01	Proto	b i
w01	Daughter	b i ¹¹
w02	Proto	b e
w02	Daughter	b e ¹¹
w03	Proto	d i
w03	Daughter	d i ¹¹
w04	Proto	d e
w04	Daughter	d e ¹¹
w05	Proto	g i
w05	Daughter	g i ¹¹
w06	Proto	g e
w06	Daughter	g e ¹¹
w07	Proto	p u
w07	Daughter	p u ⁵⁵
w08	Proto	p o
w08	Daughter	p o ⁵⁵
w09	Proto	t u
w09	Daughter	t u ⁵⁵
w10	Proto	t o
w10	Daughter	t o ⁵⁵
w11	Proto	k u
w11	Daughter	k u ⁵⁵
w12	Proto	k o
w12	Daughter	k o ⁵⁵
w01b	Proto	b i
w01b	Daughter	b i ¹¹
w02b	Proto	b e
w02b	Daughter	b e ¹¹
w03b	Proto	d i
w03b	Daughter	d i ¹¹
w04b	Proto	d e
w04b	Daughter	d e ¹¹
w05b	Proto	g i
w05b	Daughter	g i ¹¹
w06b	Proto	g e
w06b	Daughter	g e ¹¹
w07b	Proto	p u
w07b	Daughter	p u ⁵⁵
w08b	Proto	p o
w08b	Daughter	p o ⁵⁵
w09b	Proto	t u
w09b	Daughter	t u ⁵⁵
w10b	Proto	t o
w10b	Daughter	t o ⁵⁵
w11b	Proto	k u
w11b	Daughter	k u ⁵⁵
w12b	Proto	k o
w12b	Daughter	k o ⁵⁵
