cognate_id	lect_id	segments	etymon_group	source_group
fire_0	ancestor	k a p i a	fire	synthetic-repeated-etymon
fire_0	innovator	k a f i a	fire	synthetic-repeated-etymon
fire_1	ancestor	k a p i e	fire	synthetic-repeated-etymon
fire_1	innovator	k a f i e	fire	synthetic-repeated-etymon
fire_2	ancestor	k a p i i	fire	synthetic-repeated-etymon
fire_2	innovator	k a f i i	fire	synthetic-repeated-etymon
fire_3	ancestor	k a p i o	fire	synthetic-repeated-etymon
fire_3	innovator	k a f i o	fire	synthetic-repeated-etymon
fire_4	ancestor	k a p i u	fire	synthetic-repeated-etymon
fire_4	innovator	k a f i u	fire	synthetic-repeated-etymon
fire_5	ancestor	k a p i a n	fire	synthetic-repeated-etymon
fire_5	innovator	k a f i a n	fire	synthetic-repeated-etymon
fire_6	ancestor	k a p i a s	fire	synthetic-repeated-etymon
fire_6	innovator	k a f i a s	fire	synthetic-repeated-etymon
fire_7	ancestor	k a p i a m	fire	synthetic-repeated-etymon
fire_7	innovator	k a f i a m	fire	synthetic-repeated-etymon
control_0	ancestor	k a p a a	control	synthetic-repeated-etymon
control_0	innovator	k a p a a	control	synthetic-repeated-etymon
control_1	ancestor	k a p a e	control	synthetic-repeated-etymon
control_1	innovator	k a p a e	control	synthetic-repeated-etymon
control_2	ancestor	k a p a i	control	synthetic-repeated-etymon
control_2	innovator	k a p a i	control	synthetic-repeated-etymon
control_3	ancestor	k a p a o	control	synthetic-repeated-etymon
control_3	innovator	k a p a o	control	synthetic-repeated-etymon
control_4	ancestor	k a p a u	control	synthetic-repeated-etymon
control_4	innovator	k a p a u	control	synthetic-repeated-etymon
control_5	ancestor	k a p a a n	control	synthetic-repeated-etymon
control_5	innovator	k a p a a n	control	synthetic-repeated-etymon
control_6	ancestor	k a p a a s	control	synthetic-repeated-etymon
control_6	innovator	k a p a a s	control	synthetic-repeated-etymon
control_7	ancestor	k a p a a m	control	synthetic-repeated-etymon
control_7	innovator	k a p a a m	control	synthetic-repeated-etymon
