cognate_id	lect_id	segments
n000	proto	n u p i
n000	daughter	n u f i
n001	proto	m a p u
n001	daughter	m a p u
n002	proto	m o p i
n002	daughter	m o f i
n003	proto	t o p a
n003	daughter	t o p a
n004	proto	k e p e
n004	daughter	k e f e
n005	proto	t u p o
n005	daughter	t u p o
n006	proto	l u p i
n006	daughter	l u f i
n007	proto	t a p a
n007	daughter	t a p a
n008	proto	s a p e
n008	daughter	s a f e
n009	proto	l o p a
n009	daughter	l o p a
n010	proto	l i p e
n010	daughter	l i f e
n011	proto	m e p a
n011	daughter	m e p a
n012	proto	l u p i
n012	daughter	l u f i
n013	proto	s u p o
n013	daughter	s u p o
n014	proto	k e p e
n014	daughter	k e f e
n015	proto	s o p a
n015	daughter	s o p a
n016	proto	l o p i
n016	daughter	l o f i
n017	proto	n a p u
n017	daughter	n a p u
n018	proto	t i p e
n018	daughter	t i f e
n019	proto	n a p u
n019	daughter	n a p u
n020	proto	s o p i
n020	daughter	s o f i
n021	proto	m i p a
n021	daughter	m i p a
n022	proto	k a p e
n022	daughter	k a f e
n023	proto	k u p a
n023	daughter	k u p a
n024	proto	s o p e
n024	daughter	s o f e
n025	proto	t o p o
n025	daughter	t o p o
n026	proto	n e p i
n026	daughter	n e f i
n027	proto	l e p o
n027	daughter	l e p o
n028	proto	n u p e
n028	daughter	n u f e
n029	proto	m e p a
n029	daughter	m e p a
n030	proto	n e p e
n030	daughter	n e f e
n031	proto	m u p u
n031	daughter	m u p u
n032	proto	l o p e
n032	daughter	l o f e
n033	proto	k a p a
n033	daughter	k a p a
n034	proto	s a p e
n034	daughter	s a f e
n035	proto	k a p o
n035	daughter	k a p o
n036	proto	l o p i
n036	daughter	l o f i
n037	proto	l o p u
n037	daughter	l o p u
n038	proto	m i p e
n038	daughter	m i f e
n039	proto	m e p o
n039	daughter	m e p o
n040	proto	s i p i
n040	daughter	s i f i
n041	proto	s e p u
n041	daughter	s e p u
n042	proto	k i p e
n042	daughter	k i f e
n043	proto	n u p a
n043	daughter	n u p a
n044	proto	t i p e
n044	daughter	t i f e
n045	proto	s o p o
n045	daughter	s o p o
n046	proto	s a p i
n046	daughter	s a f i
n047	proto	l e p u
n047	daughter	l e p u
n048	proto	m o p e
n048	daughter	m o f e
n049	proto	s u p a
n049	daughter	s u p a
n050	proto	s i p i
n050	daughter	s i f i
n051	proto	t a p o
n051	daughter	t a p o
n052	proto	k a p e
n052	daughter	k a f e
n053	proto	s a p o
n053	daughter	s a p o
n054	proto	m e p i
n054	daughter	m e f i
n055	proto	s a p a
n055	daughter	s a p a
n056	proto	s e p e
n056	daughter	s e f e
n057	proto	m e p u
n057	daughter	m e p u
n058	proto	m e p e
n058	daughter	m e f e
n059	proto	m u p a
n059	daughter	m u p a
n060	proto	m a p e
n060	daughter	m a f e
n061	proto	m o p a
n061	daughter	m o p a
n062	proto	m i p e
n062	daughter	m i f e
n063	proto	m o p a
n063	daughter	m o p a
n064	proto	t e p e
n064	daughter	t e f e
n065	proto	k a p a
n065	daughter	k a p a
n066	proto	n e p i
n066	daughter	n e f i
n067	proto	k o p u
n067	daughter	k o p u
n068	proto	n e p e
n068	daughter	n e f e
n069	proto	l e p u
n069	daughter	l e p u
n070	proto	l o p i
n070	daughter	l o f i
n071	proto	l a p u
n071	daughter	l a p u
n072	proto	t a p i
n072	daughter	t a f i
n073	proto	n u p o
n073	daughter	n u p o
n074	proto	s a p i
n074	daughter	s a f i
n075	proto	l i p u
n075	daughter	l i p u
n076	proto	t u p e
n076	daughter	t u f e
n077	proto	s i p o
n077	daughter	s i p o
n078	proto	t e p i
n078	daughter	t e f i
n079	proto	l u p o
n079	daughter	l u p o
n080	proto	m e p i
n080	daughter	m e f i
n081	proto	t e p u
n081	daughter	t e p u
n082	proto	k e p e
n082	daughter	k e f e
n083	proto	n u p a
n083	daughter	n u p a
n084	proto	m e p e
n084	daughter	m e f e
n085	proto	k e p o
n085	daughter	k e p o
n086	proto	k a p i
n086	daughter	k a f i
n087	proto	l e p u
n087	daughter	l e p u
n088	proto	l i p e
n088	daughter	l i f e
n089	proto	s i p a
n089	daughter	s i p a
n090	proto	s u p e
n090	daughter	s u f e
n091	proto	l u p a
n091	daughter	l u p a
n092	proto	l i p e
n092	daughter	l i f e
n093	proto	n o p a
n093	daughter	n o p a
n094	proto	k a p e
n094	daughter	k a f e
n095	proto	t e p u
n095	daughter	t e p u
n096	proto	l u p i
n096	daughter	l u f i
n097	proto	s i p o
n097	daughter	s i p o
n098	proto	s i p i
n098	daughter	s i f i
n099	proto	m e p u
n099	daughter	m e p u
n100	proto	k u p e
n100	daughter	k u f e
n101	proto	m o p a
n101	daughter	m o p a
n102	proto	k e p i
n102	daughter	k e f i
n103	proto	m i p a
n103	daughter	m i p a
n104	proto	n a p e
n104	daughter	n a f e
n105	proto	s o p u
n105	daughter	s o p u
n106	proto	n a p e
n106	daughter	n a f e
n107	proto	n i p a
n107	daughter	n i p a
n108	proto	l e p e
n108	daughter	l e f e
n109	proto	m u p a
n109	daughter	m u p a
n110	proto	s a p e
n110	daughter	s a f e
n111	proto	k a p a
n111	daughter	k a p a
n112	proto	m u p e
n112	daughter	m u f e
n113	proto	k o p o
n113	daughter	k o p o
n114	proto	m o p e
n114	daughter	m o f e
n115	proto	s a p a
n115	daughter	s a p a
n116	proto	m e p i
n116	daughter	m e f i
n117	proto	s i p o
n117	daughter	s i p o
n118	proto	m o p i
n118	daughter	m o f i
n119	proto	t a p o
n119	daughter	t a p o
n120	proto	t a p e
n120	daughter	t a f e
n121	proto	m o p o
n121	daughter	m o p o
n122	proto	s e p e
n122	daughter	s e f e
n123	proto	m u p a
n123	daughter	m u p a
n124	proto	n e p e
n124	daughter	n e f e
n125	proto	k e p o
n125	daughter	k e p o
n126	proto	t e p e
n126	daughter	t e f e
n127	proto	l a p o
n127	daughter	l a p o
