cognate_id	lect_id	segments
w00	proto	k ˈa p e
w00	daughter	k a f e
w01	proto	k ˈa p i
w01	daughter	k a f i
w02	proto	k a p ˈo
w02	daughter	k a p o
w03	proto	k a p ˈu
w03	daughter	k a p u
w04	proto	k ˈe p a
w04	daughter	k e f a
w05	proto	k e p ˈi
w05	daughter	k e p i
w06	proto	k e p ˈo
w06	daughter	k e p o
w07	proto	k e p ˈu
w07	daughter	k e p u
w08	proto	k i p ˈa
w08	daughter	k i p a
w09	proto	k ˈi p e
w09	daughter	k i f e
w10	proto	k ˈi p o
w10	daughter	k i f o
w11	proto	k ˈi p u
w11	daughter	k i f u
w12	proto	k o p ˈa
w12	daughter	k o p a
w13	proto	k ˈo p e
w13	daughter	k o f e
w14	proto	k ˈo p i
w14	daughter	k o f i
w15	proto	k ˈo p u
w15	daughter	k o f u
w16	proto	k ˈu p a
w16	daughter	k u f a
w17	proto	k u p ˈe
w17	daughter	k u p e
w18	proto	k ˈu p i
w18	daughter	k u f i
w19	proto	k ˈu p o
w19	daughter	k u f o
w20	proto	t ˈa p e
w20	daughter	t a f e
w21	proto	t ˈa p i
w21	daughter	t a f i
w22	proto	t ˈa p o
w22	daughter	t a f o
w23	proto	t ˈa p u
w23	daughter	t a f u
w24	proto	t e p ˈa
w24	daughter	t e p a
w25	proto	t ˈe p i
w25	daughter	t e f i
w26	proto	t e p ˈo
w26	daughter	t e p o
w27	proto	t e p ˈu
w27	daughter	t e p u
w28	proto	t ˈi p a
w28	daughter	t i f a
w29	proto	t i p ˈe
w29	daughter	t i p e
w30	proto	t ˈi p o
w30	daughter	t i f o
w31	proto	t ˈi p u
w31	daughter	t i f u
w32	proto	t o p ˈa
w32	daughter	t o p a
w33	proto	t ˈo p e
w33	daughter	t o f e
w34	proto	t ˈo p i
w34	daughter	t o f i
w35	proto	t ˈo p u
w35	daughter	t o f u
w36	proto	t u p ˈa
w36	daughter	t u p a
w37	proto	t ˈu p e
w37	daughter	t u f e
w38	proto	t ˈu p i
w38	daughter	t u f i
w39	proto	t ˈu p o
w39	daughter	t u f o
